2013-01-01-00	1390
2013-01-01-01	1551
2013-01-01-02	1485
2013-01-01-03	1340
2013-01-01-04	926
2013-01-01-05	461
2013-01-01-06	298
2013-01-01-07	214
2013-01-01-08	189
2013-01-01-09	247
2013-01-01-10	367
2013-01-01-11	428
2013-01-01-12	544
2013-01-01-13	552
2013-01-01-14	521
2013-01-01-15	536
2013-01-01-16	535
2013-01-01-17	575
2013-01-01-18	579
2013-01-01-19	528
2013-01-01-20	495
2013-01-01-21	473
2013-01-01-22	454
2013-01-01-23	301
2013-01-02-00	224
2013-01-02-01	141
2013-01-02-02	92
2013-01-02-03	69
2013-01-02-04	82
2013-01-02-05	108
2013-01-02-06	291
2013-01-02-07	490
2013-01-02-08	736
2013-01-02-09	727
2013-01-02-10	625
2013-01-02-11	555
2013-01-02-12	597
2013-01-02-13	583
2013-01-02-14	616
2013-01-02-15	655
2013-01-02-16	819
2013-01-02-17	969
2013-01-02-18	1154
2013-01-02-19	1139
2013-01-02-20	857
2013-01-02-21	690
2013-01-02-22	695
2013-01-02-23	459
2013-01-03-00	343
2013-01-03-01	228
2013-01-03-02	164
2013-01-03-03	109
2013-01-03-04	107
2013-01-03-05	133
2013-01-03-06	275
2013-01-03-07	549
2013-01-03-08	830
2013-01-03-09	855
2013-01-03-10	695
2013-01-03-11	655
2013-01-03-12	691
2013-01-03-13	704
2013-01-03-14	683
2013-01-03-15	717
2013-01-03-16	931
2013-01-03-17	1087
2013-01-03-18	1351
2013-01-03-19	1367
2013-01-03-20	1064
2013-01-03-21	1064
2013-01-03-22	902
2013-01-03-23	671
2013-01-04-00	498
2013-01-04-01	354
2013-01-04-02	232
2013-01-04-03	146
2013-01-04-04	116
2013-01-04-05	133
2013-01-04-06	279
2013-01-04-07	568
2013-01-04-08	882
2013-01-04-09	863
2013-01-04-10	730
2013-01-04-11	618
2013-01-04-12	729
2013-01-04-13	732
2013-01-04-14	732
2013-01-04-15	723
2013-01-04-16	931
2013-01-04-17	1159
2013-01-04-18	1412
2013-01-04-19	1524
2013-01-04-20	1038
2013-01-04-21	993
2013-01-04-22	1069
2013-01-04-23	916
2013-01-05-00	919
2013-01-05-01	757
2013-01-05-02	682
2013-01-05-03	493
2013-01-05-04	281
2013-01-05-05	121
2013-01-05-06	131
2013-01-05-07	213
2013-01-05-08	307
2013-01-05-09	425
2013-01-05-10	514
2013-01-05-11	632
2013-01-05-12	647
2013-01-05-13	630
2013-01-05-14	627
2013-01-05-15	662
2013-01-05-16	708
2013-01-05-17	748
2013-01-05-18	826
2013-01-05-19	872
2013-01-05-20	820
2013-01-05-21	715
2013-01-05-22	903
2013-01-05-23	950
2013-01-06-00	896
2013-01-06-01	839
2013-01-06-02	797
2013-01-06-03	625
2013-01-06-04	352
2013-01-06-05	147
2013-01-06-06	134
2013-01-06-07	160
2013-01-06-08	287
2013-01-06-09	379
2013-01-06-10	494
2013-01-06-11	562
2013-01-06-12	596
2013-01-06-13	582
2013-01-06-14	630
2013-01-06-15	606
2013-01-06-16	628
2013-01-06-17	649
2013-01-06-18	686
2013-01-06-19	690
2013-01-06-20	610
2013-01-06-21	511
2013-01-06-22	483
2013-01-06-23	392
2013-01-07-00	281
2013-01-07-01	181
2013-01-07-02	145
2013-01-07-03	91
2013-01-07-04	98
2013-01-07-05	204
2013-01-07-06	355
2013-01-07-07	647
2013-01-07-08	899
2013-01-07-09	843
2013-01-07-10	669
2013-01-07-11	661
2013-01-07-12	679
2013-01-07-13	641
2013-01-07-14	765
2013-01-07-15	754
2013-01-07-16	961
2013-01-07-17	1129
2013-01-07-18	1382
2013-01-07-19	1350
2013-01-07-20	975
