2013-01-01-00	74
2013-01-01-01	59
2013-01-01-02	40
2013-01-01-03	44
2013-01-01-04	55
2013-01-01-05	16
2013-01-01-06	14
2013-01-01-07	14
2013-01-01-08	11
2013-01-01-09	23
2013-01-01-10	18
2013-01-01-11	27
2013-01-01-12	60
2013-01-01-13	40
2013-01-01-14	52
2013-01-01-15	86
2013-01-01-16	61
2013-01-01-17	67
2013-01-01-18	37
2013-01-01-19	30
2013-01-01-20	36
2013-01-01-21	32
2013-01-01-22	45
2013-01-01-23	33
2013-01-02-00	26
2013-01-02-01	16
2013-01-02-02	6
2013-01-02-03	7
2013-01-02-04	4
2013-01-02-05	8
2013-01-02-06	23
2013-01-02-07	31
2013-01-02-08	71
2013-01-02-09	118
2013-01-02-10	47
2013-01-02-11	41
2013-01-02-12	76
2013-01-02-13	53
2013-01-02-14	78
2013-01-02-15	90
2013-01-02-16	89
2013-01-02-17	92
2013-01-02-18	52
2013-01-02-19	76
2013-01-02-20	61
2013-01-02-21	50
2013-01-02-22	36
2013-01-02-23	39
2013-01-03-00	22
2013-01-03-01	10
2013-01-03-02	4
2013-01-03-03	5
2013-01-03-04	6
2013-01-03-05	3
2013-01-03-06	25
2013-01-03-07	27
2013-01-03-08	79
2013-01-03-09	97
2013-01-03-10	42
2013-01-03-11	57
2013-01-03-12	92
2013-01-03-13	59
2013-01-03-14	84
2013-01-03-15	100
2013-01-03-16	87
2013-01-03-17	83
2013-01-03-18	53
2013-01-03-19	65
2013-01-03-20	67
2013-01-03-21	78
2013-01-03-22	40
2013-01-03-23	48
2013-01-04-00	46
2013-01-04-01	21
2013-01-04-02	18
2013-01-04-03	13
2013-01-04-04	12
2013-01-04-05	9
2013-01-04-06	19
2013-01-04-07	35
2013-01-04-08	72
2013-01-04-09	93
2013-01-04-10	48
2013-01-04-11	58
2013-01-04-12	84
2013-01-04-13	51
2013-01-04-14	96
2013-01-04-15	120
2013-01-04-16	97
2013-01-04-17	84
2013-01-04-18	64
2013-01-04-19	97
2013-01-04-20	61
2013-01-04-21	65
2013-01-04-22	52
2013-01-04-23	67
2013-01-05-00	72
2013-01-05-01	37
2013-01-05-02	43
2013-01-05-03	29
2013-01-05-04	16
2013-01-05-05	7
2013-01-05-06	4
2013-01-05-07	4
2013-01-05-08	17
2013-01-05-09	43
2013-01-05-10	28
2013-01-05-11	46
2013-01-05-12	61
2013-01-05-13	57
2013-01-05-14	99
2013-01-05-15	87
2013-01-05-16	64
2013-01-05-17	68
2013-01-05-18	44
2013-01-05-19	70
2013-01-05-20	36
2013-01-05-21	49
2013-01-05-22	40
2013-01-05-23	68
2013-01-06-00	80
2013-01-06-01	56
2013-01-06-02	48
2013-01-06-03	55
2013-01-06-04	18
2013-01-06-05	9
2013-01-06-06	10
2013-01-06-07	12
2013-01-06-08	21
2013-01-06-09	29
2013-01-06-10	19
2013-01-06-11	42
2013-01-06-12	46
2013-01-06-13	52
2013-01-06-14	73
2013-01-06-15	77
2013-01-06-16	83
2013-01-06-17	41
2013-01-06-18	24
2013-01-06-19	59
2013-01-06-20	50
2013-01-06-21	19
2013-01-06-22	33
2013-01-06-23	26
2013-01-07-00	21
2013-01-07-01	9
2013-01-07-02	4
2013-01-07-03	3
2013-01-07-04	2
2013-01-07-05	6
2013-01-07-06	23
2013-01-07-07	37
2013-01-07-08	94
2013-01-07-09	90
2013-01-07-10	24
2013-01-07-11	44
2013-01-07-12	60
2013-01-07-13	52
2013-01-07-14	95
2013-01-07-15	84
2013-01-07-16	86
2013-01-07-17	59
2013-01-07-18	66
2013-01-07-19	84
2013-01-07-20	80
2013-01-07-21	51
2013-01-07-22	56
2013-01-07-23	46
2013-01-08-00	36
2013-01-08-01	10
2013-01-08-02	9
2013-01-08-03	5
2013-01-08-04	4
2013-01-08-05	2
2013-01-08-06	20
2013-01-08-07	40
2013-01-08-08	83
2013-01-08-09	104
2013-01-08-10	39
2013-01-08-11	69
2013-01-08-12	69
2013-01-08-13	67
2013-01-08-14	105
2013-01-08-15	91
2013-01-08-16	56
2013-01-08-17	52
2013-01-08-18	95
2013-01-08-19	74
2013-01-08-20	70
2013-01-08-21	43
2013-01-08-22	36
2013-01-08-23	44
2013-01-09-00	31
2013-01-09-01	11
2013-01-09-02	6
2013-01-09-03	5
2013-01-09-04	3
2013-01-09-05	5
2013-01-09-06	21
2013-01-09-07	51
2013-01-09-08	109
2013-01-09-09	73
2013-01-09-10	44
2013-01-09-11	63
2013-01-09-12	87
2013-01-09-13	78
2013-01-09-14	98
2013-01-09-15	94
2013-01-09-16	95
2013-01-09-17	68
2013-01-09-18	52
2013-01-09-19	94
2013-01-09-20	88
2013-01-09-21	62
2013-01-09-22	61
2013-01-09-23	50
2013-01-10-00	29
2013-01-10-01	17
2013-01-10-02	9
2013-01-10-03	7
2013-01-10-04	9
2013-01-10-05	10
2013-01-10-06	20
2013-01-10-07	67
2013-01-10-08	89
2013-01-10-09	62
2013-01-10-10	41
2013-01-10-11	58
2013-01-10-12	76
2013-01-10-13	72
2013-01-10-14	107
2013-01-10-15	125
2013-01-10-16	71
2013-01-10-17	43
2013-01-10-18	54
2013-01-10-19	85
2013-01-10-20	79
2013-01-10-21	59
2013-01-10-22	69
2013-01-10-23	73
2013-01-11-00	67
2013-01-11-01	29
2013-01-11-02	18
2013-01-11-03	15
2013-01-11-04	8
2013-01-11-05	3
2013-01-11-06	10
2013-01-11-07	51
2013-01-11-08	76
2013-01-11-09	79
2013-01-11-10	56
2013-01-11-11	78
2013-01-11-12	85
2013-01-11-13	56
2013-01-11-14	110
2013-01-11-15	97
2013-01-11-16	62
2013-01-11-17	37
2013-01-11-18	31
2013-01-11-19	46
2013-01-11-20	89
2013-01-11-21	59
2013-01-11-22	80
2013-01-11-23	84
2013-01-12-00	77
2013-01-12-01	61
2013-01-12-02	47
2013-01-12-03	28
2013-01-12-04	19
2013-01-12-05	9
2013-01-12-06	7
2013-01-12-07	9
2013-01-12-08	23
2013-01-12-09	25
2013-01-12-10	26
2013-01-12-11	44
2013-01-12-12	49
2013-01-12-13	72
2013-01-12-14	84
2013-01-12-15	86
2013-01-12-16	93
2013-01-12-17	39
2013-01-12-18	69
2013-01-12-19	83
2013-01-12-20	78
2013-01-12-21	61
2013-01-12-22	81
2013-01-12-23	128
2013-01-13-00	104
