2013-01-10-17	25019
2013-01-10-18	32550
2013-01-10-19	33438
2013-01-10-20	31512
2013-01-10-21	30785
2013-01-10-22	28896
2013-01-10-23	23759
2013-01-11-00	16997
2013-01-11-01	11260
2013-01-11-02	7393
2013-01-11-03	4903
2013-01-11-04	3931
2013-01-11-05	4412
2013-01-11-06	11824
2013-01-11-07	22445
2013-01-11-08	28163
2013-01-11-09	26371
2013-01-11-10	22541
2013-01-11-11	22178
2013-01-11-12	23856
2013-01-11-13	24802
2013-01-11-14	25682
2013-01-11-15	24742
2013-01-11-16	19742
2013-01-11-17	24236
2013-01-11-18	30854
2013-01-11-19	35425
2013-01-11-20	34020
2013-01-11-21	32632
2013-01-11-22	31886
2013-01-11-23	31103
2013-01-12-00	28271
2013-01-12-01	23818
2013-01-12-02	19456
2013-01-12-03	14044
2013-01-12-04	8556
2013-01-12-05	4021
2013-01-12-06	4316
2013-01-12-07	6705
2013-01-12-08	10588
2013-01-12-09	15551
2013-01-12-10	19578
2013-01-12-11	21718
2013-01-12-12	24030
2013-01-12-13	24869
2013-01-12-14	23934
2013-01-12-15	24564
2013-01-12-16	23142
2013-01-12-17	25907
2013-01-12-18	29518
2013-01-12-19	32054
2013-01-12-20	29259
2013-01-12-21	28247
2013-01-12-22	31038
2013-01-12-23	34245
2013-01-13-00	32565
2013-01-13-01	28999
2013-01-13-02	25051
2013-01-13-03	19260
2013-01-13-04	11753
2013-01-13-05	4762
2013-01-13-06	4206
2013-01-13-07	5622
2013-01-13-08	8425
2013-01-13-09	12304
2013-01-13-10	17727
2013-01-13-11	22168
2013-01-13-12	23758
2013-01-13-13	23887
2013-01-13-14	24171
2013-01-13-15	23189
2013-01-13-16	22755
2013-01-13-17	23435
2013-01-13-18	23617
2013-01-13-19	20476
2013-01-13-20	18256
2013-01-13-21	16863
2013-01-13-22	15512
2013-01-13-23	13780
2013-01-14-00	8804
2013-01-14-01	5809
2013-01-14-02	3556
2013-01-14-03	2526
2013-01-14-04	2648
2013-01-14-05	4484
2013-01-14-06	12378
2013-01-14-07	22754
2013-01-14-08	27858
2013-01-14-09	25921
2013-01-14-10	21127
2013-01-14-11	20061
2013-01-14-12	20918
2013-01-14-13	20953
2013-01-14-14	22479
2013-01-14-15	22818
2013-01-14-16	20218
2013-01-14-17	24237
2013-01-14-18	30127
2013-01-14-19	29313
2013-01-14-20	25953
2013-01-14-21	26350
2013-01-14-22	25948
2013-01-14-23	16410
2013-01-15-00	10453
2013-01-15-01	6299
2013-01-15-02	3903
2013-01-15-03	2577
2013-01-15-04	2315
2013-01-15-05	4165
2013-01-15-06	12128
2013-01-15-07	23925
2013-01-15-08	30119
2013-01-15-09	28033
2013-01-15-10	23952
2013-01-15-11	23169
2013-01-15-12	24116
2013-01-15-13	23620
2013-01-15-14	25604
2013-01-15-15	24929
2013-01-15-16	21219
2013-01-15-17	26877
2013-01-15-18	33693
2013-01-15-19	34272
2013-01-15-20	31525
2013-01-15-21	30830
2013-01-15-22	28378
2013-01-15-23	20798
2013-01-16-00	13562
2013-01-16-01	7984
2013-01-16-02	4888
2013-01-16-03	3319
2013-01-16-04	3096
2013-01-16-05	4638
2013-01-16-06	13356
2013-01-16-07	24567
2013-01-16-08	28891
2013-01-16-09	27560
2013-01-16-10	25380
2013-01-16-11	24550
2013-01-16-12	25096
2013-01-16-13	23460
2013-01-16-14	25454
2013-01-16-15	23647
2013-01-16-16	19717
2013-01-16-17	25499
2013-01-16-18	32445
2013-01-16-19	33502
2013-01-16-20	31175
2013-01-16-21	29996
2013-01-16-22	27903
2013-01-16-23	20380
2013-01-17-00	13578
2013-01-17-01	8119
2013-01-17-02	5333
2013-01-17-03	3409
2013-01-17-04	3221
2013-01-17-05	4640
2013-01-17-06	12400
2013-01-17-07	24281
2013-01-17-08	29467
2013-01-17-09	27285
2013-01-17-10	23528
2013-01-17-11	22686
2013-01-17-12	24035
2013-01-17-13	23586
2013-01-17-14	25768
2013-01-17-15	24802
2013-01-17-16	20143
2013-01-17-17	25525
2013-01-17-18	32971
2013-01-17-19	33826
2013-01-17-20	33292
2013-01-17-21	32982
2013-01-17-22	31583
2013-01-17-23	26073
2013-01-18-00	18472
2013-01-18-01	11926
2013-01-18-02	8070
2013-01-18-03	5371
2013-01-18-04	4512
2013-01-18-05	5202
2013-01-18-06	12375
2013-01-18-07	23791
2013-01-18-08	29574
2013-01-18-09	27741
2013-01-18-10	24961
2013-01-18-11	24906
2013-01-18-12	25687
2013-01-18-13	25146
2013-01-18-14	26940
2013-01-18-15	24842
2013-01-18-16	19957
2013-01-18-17	24435
2013-01-18-18	32611
2013-01-18-19	35202
2013-01-18-20	33834
2013-01-18-21	31825
2013-01-18-22	33842
2013-01-18-23	32512
2013-01-19-00	30113
2013-01-19-01	24995
2013-01-19-02	20668
2013-01-19-03	15752
2013-01-19-04	10312
2013-01-19-05	5328
2013-01-19-06	5674
2013-01-19-07	7391
2013-01-19-08	10916
2013-01-19-09	15845
2013-01-19-10	19344
2013-01-19-11	21703
2013-01-19-12	23463
2013-01-19-13	24605
2013-01-19-14	23648
2013-01-19-15	23039
2013-01-19-16	22177
2013-01-19-17	25519
2013-01-19-18	29896
2013-01-19-19	31775
2013-01-19-20	27835
2013-01-19-21	26957
2013-01-19-22	30795
2013-01-19-23	32780
2013-01-20-00	31939
2013-01-20-01	28452
2013-01-20-02	24394
2013-01-20-03	19214
2013-01-20-04	11924
2013-01-20-05	5001
2013-01-20-06	4323
2013-01-20-07	5224
2013-01-20-08	7770
2013-01-20-09	11698
2013-01-20-10	16510
2013-01-20-11	19916
2013-01-20-12	22221
2013-01-20-13	23217
2013-01-20-14	24254
2013-01-20-15	23465
2013-01-20-16	21789
2013-01-20-17	23410
2013-01-20-18	26980
2013-01-20-19	22660
2013-01-20-20	21077
2013-01-20-21	21776
2013-01-20-22	23100
2013-01-20-23	19079
2013-01-21-00	15281
2013-01-21-01	10844
2013-01-21-02	7523
2013-01-21-03	5320
2013-01-21-04	4185
2013-01-21-05	3551
2013-01-21-06	5768
2013-01-21-07	8401
2013-01-21-08	14025
2013-01-21-09	16937
2013-01-21-10	17599
2013-01-21-11	19471
2013-01-21-12	21388
2013-01-21-13	22470
2013-01-21-14	23731
2013-01-21-15	23171
2013-01-21-16	21289
2013-01-21-17	23511
2013-01-21-18	26439
2013-01-21-19	23645
2013-01-21-20	20298
2013-01-21-21	18790
2013-01-21-22	18130
2013-01-21-23	12847
2013-01-22-00	8367
2013-01-22-01	4731
2013-01-22-02	2911
2013-01-22-03	2079
2013-01-22-04	2197
2013-01-22-05	4244
2013-01-22-06	12930
2013-01-22-07	24458
2013-01-22-08	30404
2013-01-22-09	28128
2013-01-22-10	24425
2013-01-22-11	23545
2013-01-22-12	24378
2013-01-22-13	23987
2013-01-22-14	26281
2013-01-22-15	26501
2013-01-22-16	22441
2013-01-22-17	27348
2013-01-22-18	34289
2013-01-22-19	34391
2013-01-22-20	32321
2013-01-22-21	30793
2013-01-22-22	26588
2013-01-22-23	18268
2013-01-23-00	11345
2013-01-23-01	6267
2013-01-23-02	3764
2013-01-23-03	2593
