1	412630
2	393001
3	441233
4	478437
5	473804
6	403667
7	407363
8	441778
9	457471
10	487949
11	521398
12	507429
13	442541
14	443650
15	496899
16	500065
17	512533
18	543734
19	510530
20	459393
21	384614
22	496005
23	520520
24	533039
25	537188
26	557203
27	470833
28	450789
29	477380
30	482378
31	531161
32	567076
33	569777
34	472623
35	457093
36	482637
37	506443
38	535105
39	432643
40	392006
41	459612
42	458947
43	503963
44	524250
45	527476
46	537129
47	542291
48	506209
49	407104
50	456383
51	512507
52	538079
53	558738
54	584812
55	474783
56	451955
57	496612
58	509033
59	524890
60	564492
61	584654
62	493312
63	466591
64	493815
65	518309
66	538316
67	545587
68	562200
69	468337
70	451483
71	494922
72	514843
73	552660
74	559360
75	574056
76	493734
77	458062
78	477028
79	493779
80	505003
81	548247
82	553332
83	468001
84	438928
85	460401
86	486853
87	512225
88	519004
89	504537
90	447157
91	428997
92	495549
93	513864
94	532590
95	554436
96	533177
97	461165
98	440520
99	477161
100	503211
101	525206
102	564860
103	555218
104	485706
105	461076
106	481130
107	501840
108	526055
109	544060
110	570929
111	483324
112	457622
113	498802
114	500551
115	518574
116	539015
117	538317
118	467900
119	459114
120	480499
121	496654
122	523150
123	550959
124	554561
125	488396
126	468128
127	490805
128	509311
129	526752
130	538311
131	540132
132	461193
133	460124
134	490347
135	508359
136	528160
137	533823
138	535926
139	489710
140	466778
141	499524
142	502907
143	492055
144	493125
145	453460
146	384516
147	336266
148	445789
149	479913
150	510309
151	525606
152	533686
153	451758
154	452843
155	477247
156	497525
157	515390
158	532092
159	489509
160	441053
161	461167
162	473608
163	486639
164	519795
165	507938
166	495600
167	421987
168	437845
169	467426
170	489915
171	499545
172	505615
173	474408
174	436668
175	437610
176	470671
177	487692
178	504877
179	506807
180	490613
181	417927
182	422480
183	442300
184	435265
185	326471
186	353054
187	355218
188	358766
189	413838
190	458674
191	474780
192	495023
193	507426
194	468743
195	435797
196	443449
197	466846
198	496511
199	513766
200	515946
201	485994
202	414532
203	440457
204	465257
205	476404
206	487993
207	483652
208	457849
209	415239
210	409210
211	443487
212	459413
213	307260
214	236748
215	226553
216	202310
217	406380
218	448250
219	465632
220	437140
221	489301
222	445037
223	195405
224	399261
225	449946
226	457843
227	473544
228	449766
229	438088
230	390925
231	397350
232	432545
233	454080
234	471247
235	464484
236	448491
237	400758
238	394409
239	422802
240	444727
241	455453
242	456824
243	434550
244	384470
245	332266
246	422359
247	453983
248	467390
249	508640
250	511269
251	462607
252	451162
253	483385
254	501093
255	503526
256	523280
257	518170
258	462795
259	444748
260	468093
261	484596
262	504010
263	523123
264	535226
265	457166
266	411837
267	435121
268	461769
269	484958
270	502250
271	526082
272	457888
273	424431
274	452769
275	475182
276	496807
277	520937
278	538444
279	457691
280	426030
281	459784
282	484883
283	507456
284	516171
285	524068
286	462766
287	403416
288	430354
289	477305
290	506341
291	526590
292	549186
293	473864
294	435562
295	466786
296	495387
297	513937
298	530999
299	536130
300	468421
301	432200
302	463945
303	481728
304	489417
305	555745
306	550253
307	482847
308	448323
309	467510
310	483207
311	508154
312	528447
313	545002
314	473151
315	417822
316	473987
317	492095
318	506377
319	514297
320	538546
321	464838
322	425004
323	475478
324	493407
325	497944
326	524547
327	553845
328	498122
329	445802
330	438122
331	447133
332	331610
333	373808
334	433028
335	398089
336	427094
337	463782
338	471838
339	498220
340	530748
341	552655
342	488180
343	452108
344	478456
345	485363
346	507534
347	543606
348	516303
349	458267
350	454088
351	481726
352	488390
353	496031
354	520424
355	478717
356	403373
357	385241
358	369596
359	245723
360	321895
361	381837
362	391307
363	407235
364	405705
365	467587
